ingredient_1_inci,ingredient_2_inci,interaction_type,layering_order,wait_time_minutes,time_of_day,skin_type_oily,skin_type_dry,skin_type_sensitive,skin_type_combination,skin_type_mature,skin_concern_impact,age_group,pregnancy_notes,conflict_reason,synergy_reason,application_notes
Seaweed Extract,Ceramide NP,synergistic,either,0,both,yes,yes,yes,yes,yes,barrier|dryness|aging enhanced,all,yes,,Marine polysaccharides + ceramides for complete barrier moisture management.,Layer in any order. Marine barrier combination.
Rose Extract,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,redness|dullness|barrier|aging enhanced,all,yes,,Rosa damascena extract anti-inflammatory and antioxidant + niacinamide barrier/brightening. Very compatible gentle actives.,Layer in any order. Gentle soothing brightening combination.
Rose Extract,Ceramide NP,synergistic,either,0,both,yes,yes,yes,yes,yes,redness|barrier|sensitivity enhanced,all,yes,,Rose extract anti-inflammatory + ceramide barrier repair. Both gentle soothing ingredients.,Layer in any order. Soothing barrier combination.
Rose Extract,Hyaluronic Acid,synergistic,either,0,both,yes,yes,yes,yes,yes,redness|dryness|barrier enhanced,all,yes,,Rose extract soothes and tones; HA deeply hydrates. Classic gentle brightening hydration pairing.,Layer in any order. Gentle aromatic hydration combination.
Propolis Extract,Salicylic Acid,synergistic,Salicylic Acid first,0,PM,yes,caution,moderate,yes,moderate,acne|antimicrobial|redness|pores enhanced,teen|adult|mature,consult (SA),,BHA exfoliates acne pores; propolis bioflavonoids + caffeic acid phenethyl ester antimicrobial complement BHA anti-acne.,"Apply BHA toner, then propolis-containing serum or essence."
Propolis Extract,Niacinamide,synergistic,either,0,both,yes,yes,moderate,yes,moderate,acne|redness|barrier|hyperpigmentation enhanced,teen|adult|mature,consult,,Propolis antimicrobial + wound healing + niacinamide barrier/brightening. Complementary acne and repair combination.,"Layer in any order. Propolis essence/serum, then niacinamide serum."
Propolis Extract,Tea Tree Oil,synergistic,Tea Tree first,0,PM,yes,caution,caution,yes,moderate,acne|antimicrobial|redness enhanced,teen|adult|mature,consult both,,Both antimicrobial agents with complementary anti-P.acnes activity. Propolis CAPE + tea tree terpinen-4-ol cover broad antimicrobial spectrum.,Tea tree spot treatment then propolis serum. Monitored acne antimicrobial protocol.
Madecassoside,Ceramide NP,synergistic,either,0,both,yes,yes,yes,yes,yes,barrier|redness|sensitivity|healing enhanced,all,yes,,Madecassoside (centella triterpene glucoside) activates collagen synthesis and reduces inflammation; ceramides rebuild barrier lipid matrix. Both skin repair.,"Layer in any order. Excellent for post-procedure, barrier compromise, or sensitivity."
Madecassoside,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,redness|barrier|hyperpigmentation|sensitivity enhanced,all,yes,,Madecassoside anti-inflammatory wound healing + niacinamide barrier/brightening. Both address inflammation pathway.,Layer in any order. Excellent redness + PIH combination.
Madecassoside,Retinol,synergistic,Retinol first then Madecassoside,0,PM,yes,yes,yes,yes,yes,aging|redness|barrier|healing enhanced,adult|mature,no (retinol),,Madecassoside calms retinol-induced inflammation and supports barrier while independently stimulating collagen.,"Apply retinol, then madecassoside-containing product. Excellent for retinol sensitization."
Madecassoside,Hyaluronic Acid,synergistic,either,0,both,yes,yes,yes,yes,yes,redness|dryness|barrier|healing enhanced,all,yes,,Madecassoside healing + HA deep hydration. Very compatible; both soothing and hydrating for damaged skin.,Layer in any order. Post-procedure healing + hydration.
Asiaticoside,Ceramide NP,synergistic,either,0,both,yes,yes,yes,yes,yes,barrier|redness|healing|sensitivity enhanced,all,yes,,Asiaticoside (centella triterpene) stimulates collagen and reduces inflammation; ceramides provide structural barrier repair.,Layer in any order. Barrier healing + structural repair protocol.
Asiaticoside,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,redness|barrier|healing|hyperpigmentation enhanced,all,yes,,Asiaticoside anti-inflammatory collagen stimulation + niacinamide barrier/brightening. Both soothing and reparative.,Layer in any order. Redness + PIH + barrier improvement.
Asiaticoside,Hyaluronic Acid,synergistic,either,0,both,yes,yes,yes,yes,yes,redness|dryness|healing enhanced,all,yes,,Asiaticoside healing + HA hydration. Very compatible; both support skin recovery.,Layer in any order. Healing hydration combination.
Ceramide AP,Ceramide NP,synergistic,same formula preferred,0,both,yes,yes,yes,yes,yes,barrier|dryness|aging|sensitivity enhanced,all,yes,,Ceramide AP (alpha-hydroxy ceramide; ceramide 6 II) + ceramide NP – both barrier ceramides simulating natural human ceramide ratio. Complementary barrier lipid types.,Best used in combined formula to mimic natural ceramide mixture. Layer any order if in separate products.
Ceramide EOP,Ceramide NP,synergistic,same formula preferred,0,both,yes,yes,yes,yes,yes,barrier|dryness|aging|sensitivity enhanced,all,yes,,Ceramide EOP (omega-linoleoyl ceramide; ceramide 1) + ceramide NP – ceramide 1 is the most unique structural ceramide anchoring lamellar bodies. Essential for complete barrier repair.,Best combined in same formula to replicate natural 3:1:1 ceramide/cholesterol/FA ratio.
Ceramide NS,Ceramide NP,synergistic,same formula preferred,0,both,yes,yes,yes,yes,yes,barrier|dryness|aging enhanced,all,yes,,Ceramide NS (N-stearoyl sphingosine; ceramide 2) + ceramide NP – different sphingoid base ceramides covering broader barrier spectrum.,Both in same formula for maximum barrier effect. Ceramide multi-type is most efficient.
Ceramide AP,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,barrier|sensitivity|dryness enhanced,all,yes,,Ceramide AP barrier lipid + niacinamide stimulates ceramide synthesis independently. Double ceramide support.,Layer in any order. Niacinamide upregulates endogenous ceramide; AP adds exogenous. 
Ceramide EOP,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,barrier|sensitivity|dryness enhanced,all,yes,,Ceramide EOP essential skin barrier ceramide (anchors lamellar bodies) + niacinamide ceramide synthesis stimulator. Most important barrier combo.,Layer in any order. Essential ceramide EOP + niacinamide stimulation: comprehensive barrier support.
Ceramide AP,Retinol,synergistic,Retinol first then Ceramide,0,PM,yes,yes,yes,yes,yes,aging|barrier|dryness enhanced,adult|mature,no (retinol),,All ceramide types help repair barrier disrupted by retinol. Ceramide AP's alpha-hydroxy form is calming and supportive.,"Apply retinol, then ceramide AP-containing product."
Ceramide EOP,Retinol,synergistic,Retinol first then Ceramide,0,PM,yes,yes,yes,yes,yes,aging|barrier|dryness enhanced,adult|mature,no (retinol),,Ceramide EOP (linoleoyl ceramide) is potentially the most important for retinol-disrupted barrier repair due to lamellar body anchoring.,"Apply retinol, then ceramide EOP-containing product. Best ceramide for retinoid barrier repair."
Phytosphingosine,Ceramide NP,synergistic,same formula preferred,0,both,yes,yes,yes,yes,yes,barrier|acne|sensitivity|dryness enhanced,all,yes,,Phytosphingosine sphingoid base has antimicrobial and pro-ceramide synthesis properties; ceramide NP adds direct barrier lipid. Most natural combination.,Best in same formula. Both naturally occurring in healthy skin.
Phytosphingosine,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,acne|barrier|redness enhanced,all,yes,,Phytosphingosine antimicrobial + anti-inflammatory + niacinamide barrier/brightening. Complementary anti-acne barrier approach.,Layer in any order. Natural anti-acne barrier combination.
Phytosphingosine,Salicylic Acid,synergistic,Salicylic Acid first,0,PM,yes,caution,moderate,yes,moderate,acne|barrier|antimicrobial enhanced,teen|adult|mature,consult (SA),,BHA exfoliates acne pores; phytosphingosine provides barrier lipid and antimicrobial support after exfoliation.,"Apply BHA toner, then phytosphingosine-containing product."
Cholesterol,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,barrier|dryness|aging|sensitivity enhanced,all,yes,,Cholesterol (essential barrier lipid) + niacinamide ceramide synthesis stimulator. Both target barrier health from different angles.,Layer in any order. Barrier lipid + stimulator combination.
Cholesterol,Retinol,synergistic,Retinol first then Cholesterol,0,PM,yes,yes,yes,yes,yes,aging|barrier|dryness enhanced,adult|mature,no (retinol),,Cholesterol helps restore barrier disrupted by retinol; also a signaling molecule that may support retinol conversion pathway.,"Apply retinol, then cholesterol-containing barrier cream."
Allantoin,Ceramide NP,synergistic,either,0,both,yes,yes,yes,yes,yes,barrier|sensitivity|redness|healing enhanced,all,yes,,Already covered. Allantoin heals; ceramide rebuilds barrier.,See Ceramide NP + Allantoin row.
Allantoin,Retinol,synergistic,Retinol first then Allantoin,0,PM,yes,yes,yes,yes,yes,aging|redness|healing|texture enhanced,adult|mature,no (retinol),,Allantoin heals and soothes retinol-induced irritation while promoting cell regeneration synergistically.,"Apply retinol, then allantoin-containing moisturizer. Good retinol irritation buffer."
Allantoin,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,redness|barrier|healing|texture enhanced,all,yes,,Allantoin wound healer + niacinamide barrier/brightening. Both soothing and repair-focused.,Layer in any order. Gentle healing + brightening combination.
Allantoin,Glycolic Acid,synergistic,Glycolic Acid first,15,PM,yes,moderate,moderate,yes,moderate,texture|redness|healing enhanced,adult|mature,consult (GA),,AHA exfoliates; allantoin heals and reduces post-exfoliation redness. Allantoin commonly included in AHA formulas for this reason.,"Apply AHA, wait 15 min, then allantoin serum. Or use AHA product containing allantoin."
Allantoin,Hyaluronic Acid,synergistic,either,0,both,yes,yes,yes,yes,yes,redness|dryness|healing|barrier enhanced,all,yes,,Allantoin healing + HA deep hydration. Soothing and moisturizing combination for damaged skin.,Layer in any order. Healing hydration combination.
Bisabolol,Ceramide NP,synergistic,either,0,both,yes,yes,yes,yes,yes,barrier|redness|sensitivity|healing enhanced,all,yes,,Bisabolol (chamomile-derived) anti-inflammatory + ceramide barrier repair. Both address barrier protection from inflammatory damage.,Layer in any order. Excellent sensitive skin barrier + soothing combination.
Bisabolol,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,redness|barrier|sensitivity|hyperpigmentation enhanced,all,yes,,Bisabolol anti-inflammatory + niacinamide barrier/brightening. Gentle comprehensive soothing combination.,Layer in any order. Excellent for sensitive skin with PIH.
Bisabolol,Glycolic Acid,synergistic,Glycolic Acid first,15,PM,yes,moderate,moderate,yes,moderate,texture|redness|healing enhanced,adult|mature,consult (GA),,Bisabolol reduces AHA-related irritation; commonly included in AHA formulas for this purpose.,"Apply AHA, wait 15 min, then bisabolol-containing product. Standard formulation approach."
Bisabolol,Hyaluronic Acid,synergistic,either,0,both,yes,yes,yes,yes,yes,redness|dryness|sensitivity enhanced,all,yes,,Bisabolol soothes and reduces sensitization; HA provides moisture. Gentle soothing hydration.,Layer in any order. Sensitive skin hydration + soothing.
Pantothenic Acid,Ceramide NP,synergistic,either,0,both,yes,yes,yes,yes,yes,barrier|dryness|healing|sensitivity enhanced,all,yes,,Pantothenic acid (vitamin B5 precursor; different absorption pathway to panthenol) + ceramide barrier repair. Complementary wound healing.,Layer in any order. B5 + ceramide barrier repair.
Pantothenic Acid,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,barrier|healing|redness enhanced,all,yes,,Pantothenic acid metabolic support for barrier construction + niacinamide barrier stimulation. Both B-vitamin family.,Layer in any order. B-vitamin barrier support combination.
Panthenol,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,barrier|dryness|redness|healing enhanced,all,yes,,Panthenol (provitamin B5) moisturizing + healing + niacinamide barrier/brightening. B-vitamin synergy.,Layer in any order. Classic B-vitamin skin treatment combination.
Panthenol,Retinol,synergistic,Retinol first then Panthenol,0,PM,yes,yes,yes,yes,yes,aging|barrier|healing|dryness enhanced,adult|mature,no (retinol),,Panthenol soothes and heals retinol-induced barrier disruption. Well-established buffering ingredient for retinoid routines.,"Apply retinol, then panthenol-containing moisturizer. Classic retinol support."
Panthenol,Hyaluronic Acid,synergistic,either,0,both,yes,yes,yes,yes,yes,dryness|barrier|healing enhanced,all,yes,,Panthenol humectant + healing + HA deep hydration. Both moisture and repair combination.,Layer in any order. Fundamental hydration + healing combination.
Chamomile Extract,Ceramide NP,synergistic,either,0,both,yes,yes,yes,yes,yes,barrier|redness|sensitivity|healing enhanced,all,yes,,Chamomile bisabolol + apigenin anti-inflammatory + ceramide structural barrier repair. Both soothing and barrier-focused.,Layer in any order. Classic gentle sensitive skin protocol.
Chamomile Extract,Retinol,synergistic,Retinol first then Chamomile,0,PM,yes,yes,yes,yes,yes,aging|redness|barrier enhanced,adult|mature,no (retinol),,Chamomile apigenin reduces retinol-induced inflammation and redness. Natural anti-inflammatory buffer for retinoid use.,"Apply retinol, then chamomile-containing product."
Chamomile Extract,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,redness|barrier|sensitivity enhanced,all,yes,,Chamomile anti-inflammatory + niacinamide barrier/brightening. Both gentle anti-inflammatory agents.,Layer in any order. Gentle redness + barrier combination.
Chamomile Extract,Hyaluronic Acid,synergistic,either,0,both,yes,yes,yes,yes,yes,redness|dryness|sensitivity enhanced,all,yes,,Chamomile soothes and calms; HA provides moisture. Classic gentle hydration combination.,Layer in any order. Very well tolerated hydration + soothing.
Calendula Extract,Ceramide NP,synergistic,either,0,both,yes,yes,yes,yes,yes,barrier|redness|healing|sensitivity enhanced,all,yes,,Calendula (pot marigold) resin anti-inflammatory + wound healing + ceramide barrier repair. Both skin repair focused.,Layer in any order. Natural healing + barrier combination.
Calendula Extract,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,redness|barrier|healing enhanced,all,yes,,Calendula healing + niacinamide brightening/barrier. Both anti-inflammatory.,Layer in any order. Healing + brightening gentle combination.
Calendula Extract,Retinol,synergistic,Retinol first then Calendula,0,PM,yes,yes,yes,yes,yes,aging|redness|healing enhanced,adult|mature,no (retinol),,Calendula anti-inflammatory reduces retinol side effects. Commonly used as natural buffer in retinoid formulas.,"Apply retinol, then calendula-containing moisturizer."
Witch Hazel Extract,Niacinamide,neutral,Witch Hazel first,15,both,moderate,caution,caution,moderate,moderate,acne|pores|redness - use sequentially,teen|adult|mature,consult,Witch hazel alcohol content may sensitize; its astringent action slightly acidic. Wait before niacinamide.,Both anti-redness. Witch hazel tones; niacinamide brightens and builds barrier.,"Apply witch hazel toner, wait 15 min, then niacinamide serum. Avoid alcoholic witch hazel on sensitive skin."
Witch Hazel Extract,Salicylic Acid,synergistic,Salicylic Acid first,0,both,yes,caution,no,yes,caution,acne|pores|oil control enhanced,teen|adult,consult (SA),,BHA exfoliates pores; witch hazel astringent action and tannin antimicrobial complement BHA. Both oil control focused.,"BHA toner, then witch hazel toner. Classic acne toning protocol – but skip for dry/sensitive skin."
Witch Hazel Extract,Retinol,caution,separate AM or well before Retinol,30,PM,moderate,caution,no,moderate,caution,aging|pores - caution for barrier,adult|mature,no (retinol),Witch hazel alcohol can sensitize and dehydrate skin before retinol further compromises barrier. Risk of irritation stack.,Both address aging and pores but witch hazel weakens barrier before retinol.,"Avoid alcoholic witch hazel before retinol. If using, apply witch hazel toner, wait 30+ min, then retinol."
Cucumber Extract,Hyaluronic Acid,synergistic,either,0,both,yes,yes,yes,yes,yes,redness|dryness|sensitivity|cooling enhanced,all,yes,,Cucumber extract (natural silica + flavonoids) soothing and cooling; HA deep hydration. Classic post-sun or sensitive skin combination.,Layer in any order. Summer staple: cooling + deep hydration.
Cucumber Extract,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,redness|dryness|sensitivity|barrier enhanced,all,yes,,Cucumber soothing + niacinamide barrier/brightening. Both gentle; complementary skin benefit.,Layer in any order. Gentle soothing brightening combination.
Cucumber Extract,Ceramide NP,synergistic,either,0,both,yes,yes,yes,yes,yes,redness|barrier|sensitivity enhanced,all,yes,,Cucumber cooling anti-inflammatory + ceramide structural barrier repair. Post-sun or irritation recovery.,Layer in any order. Recovery + barrier combination.
Artemisia Vulgaris Extract,Ceramide NP,synergistic,either,0,both,yes,yes,yes,yes,yes,barrier|redness|sensitivity|healing enhanced,all,yes,,Mugwort (Artemisia vulgaris) anti-inflammatory with beta-caryophyllene and camphor + ceramide barrier repair. Gentle K-beauty soothing + barrier.,Layer in any order. Korean cica-alternative soothing + barrier combination.
Artemisia Vulgaris Extract,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,redness|barrier|sensitivity|brightening enhanced,all,yes,,Artemisia anti-inflammatory soothing + niacinamide barrier/brightening. Popular sensitive acne skin combination in K-beauty.,Layer in any order. Soothing + brightening K-beauty combination.
Artemisia Vulgaris Extract,Retinol,synergistic,Retinol first then Artemisia,0,PM,yes,yes,yes,yes,yes,aging|redness|barrier enhanced,adult|mature,no (retinol),,Mugwort anti-inflammatory reduces retinol side effects. Natural alternative to chamomile for retinoid buffering.,"Apply retinol, then artemisia-containing essence or serum."
Ectoin,Ceramide NP,synergistic,either,0,both,yes,yes,yes,yes,yes,barrier|redness|sensitivity|DNA protection enhanced,all,yes,,Ectoin (extremophile bacterial amino acid) protects DNA and cell membranes from stress; ceramide repairs barrier structure. Both stress protection focused.,Layer in any order. Excellent environmental protection + barrier combination.
Ectoin,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,barrier|redness|sensitivity|DNA protection enhanced,all,yes,,Ectoin cellular protection + niacinamide barrier. Both anti-inflammatory and protective.,Layer in any order. Daily protection + barrier combination.
Ectoin,Retinol,synergistic,Retinol first then Ectoin,0,PM,yes,yes,yes,yes,yes,aging|barrier|DNA protection enhanced,adult|mature,no (retinol),,Ectoin protects from retinol-induced cellular stress and strengthens barrier while retinol drives anti-aging efficacy.,"Apply retinol, then ectoin-containing moisturizer. Reduces retinol cellular stress."
Ectoin,Hyaluronic Acid,synergistic,either,0,both,yes,yes,yes,yes,yes,barrier|dryness|DNA protection enhanced,all,yes,,Ectoin cell membrane protection + HA moisture. Complementary cellular + extracellular hydration protection.,Layer in any order. Cellular + skin hydration protection.
Bifida Ferment Lysate,Ceramide NP,synergistic,either,0,both,yes,yes,yes,yes,yes,barrier|sensitivity|microbiome|aging enhanced,all,yes,,Bifida probiotic lysate supports skin microbiome homeostasis; ceramides rebuild barrier physical structure. Microbiome + lipid barrier dual approach.,Layer in any order. Probiotic + structural barrier combination.
Bifida Ferment Lysate,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,barrier|microbiome|redness|aging enhanced,all,yes,,Bifida ferment microbiome support + niacinamide barrier/brightening. Both address barrier health from different angles.,Layer in any order. Microbiome + barrier brightening combination.
Bifida Ferment Lysate,Ascorbic Acid,synergistic,Vitamin C first,0,AM,yes,yes,moderate,yes,yes,aging|brightening|barrier|microbiome enhanced,adult|mature,consult (AA),,Bifida ferment anti-aging + microbiome support; vitamin C brightening and antioxidant. Complementary anti-aging.,"Apply vitamin C serum, then bifida ferment lysate."
Saccharomyces Ferment Filtrate,Ascorbic Acid,synergistic,Vitamin C first,0,AM,yes,yes,moderate,yes,yes,aging|brightening|texture|antioxidant enhanced,adult|mature,consult (AA),,Saccharomyces yeast ferment provides b-vitamins and amino acids for skin brightening; vitamin C adds targeted antioxidant brightening.,"Apply vitamin C serum, then saccharomyces ferment filtrate essence."
Saccharomyces Ferment Filtrate,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,brightening|barrier|texture|aging enhanced,all,yes,,Ferment brightening/texture improvement + niacinamide brightening/barrier. Both brightening with complementary mechanisms.,Layer in any order. Ferment + niacinamide brightening combination.
Saccharomyces Ferment Filtrate,Ceramide NP,synergistic,Saccharomyces first,0,both,yes,yes,yes,yes,yes,barrier|brightening|texture|aging enhanced,all,yes,,Ferment brightens and provides micronutrients; ceramides seal and repair barrier. Complete skin quality protocol.,"Apply ferment first, then ceramide serum/moisturizer."
Phytosterols,Ceramide NP,synergistic,same formula preferred,0,both,yes,yes,yes,yes,yes,barrier|dryness|aging|sensitivity enhanced,all,yes,,Phytosterols (beta-sitosterol etc.) are structural barrier lipid components complementing ceramides in the lamellar body bilayer. Cholesterol-analog barrier support.,Best in same formula. Complementary barrier lipid pair mimicking natural barrier composition.
Phytosterols,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,barrier|aging|anti-inflammatory enhanced,all,yes,,Phytosterols anti-inflammatory + barrier lipid + niacinamide barrier synthesis stimulation. Combined barrier repair.,Layer in any order. Natural barrier lipid + synthesis stimulation.
Phytosterols,Retinol,synergistic,Retinol first then Phytosterols,0,PM,yes,yes,moderate,yes,yes,aging|barrier|anti-inflammatory enhanced,adult|mature,no (retinol),,Phytosterols anti-inflammatory barrier lipid repair buffers retinol barrier disruption.,"Apply retinol, then phytosterol-containing moisturizer."
Oat Extract,Retinol,synergistic,Retinol first then Oat Extract,0,PM,yes,yes,yes,yes,yes,aging|redness|barrier|sensitivity enhanced,adult|mature,no (retinol),,Colloidal oatmeal avenanthramides calm retinol-induced inflammation. FDA-approved as skin protectant; highly effective retinol buffer.,"Apply retinol, then colloidal oatmeal-containing moisturizer. Excellent for sensitive starters on retinoids."
Oat Extract,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,barrier|redness|sensitivity|dryness enhanced,all,yes,,Oat beta-glucan + avenanthramide soothing + niacinamide barrier/brightening. Both anti-inflammatory and barrier supportive.,Layer in any order. Excellent sensitive skin barrier + soothing brightening.
Oat Extract,Hyaluronic Acid,synergistic,either,0,both,yes,yes,yes,yes,yes,dryness|sensitivity|barrier|redness enhanced,all,yes,,Oat extract soothes and provides humectant beta-glucan; HA deep hydration. Complete sensitive skin moisturization.,Layer in any order. Sensitive skin hydration staple combination.
Sodium Hyaluronate,Hyaluronic Acid,synergistic,either,0,both,yes,yes,yes,yes,yes,dryness|aging|texture enhanced,all,yes,,"Sodium hyaluronate (HA salt, lower MW, better penetration) + high MW HA work at different skin depths. Multi-depth moisture approach.",Layer in any order or use combined. Different molecular sizes for complete moisture delivery.
Sodium Hyaluronate,Ceramide NP,synergistic,Sodium Hyaluronate first,0,both,yes,yes,yes,yes,yes,barrier|dryness|aging enhanced,all,yes,,Sodium hyaluronate penetrates to deliver deep moisture; ceramides seal and maintain barrier.,Apply sodium hyaluronate serum then ceramide moisturizer.
Sodium Hyaluronate,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,dryness|barrier|brightening|texture enhanced,all,yes,,Sodium hyaluronate deep moisturizer + niacinamide barrier/brightening. Very compatible daily hydration + barrier treatment.,Layer in any order. Foundation of K-beauty serum layering.
Zinc Sulfate,Niacinamide,synergistic,either,0,both,yes,caution,moderate,yes,moderate,acne|pores|redness|antimicrobial enhanced,teen|adult|mature,consult,,Zinc sulfate astringent/antimicrobial + niacinamide sebum regulation/barrier. Complementary anti-acne approaches.,Layer in any order. Zinc + niacinamide classic acne combination.
Zinc Sulfate,Salicylic Acid,synergistic,Salicylic Acid first,0,both,yes,caution,caution,yes,moderate,acne|pores|antimicrobial enhanced,teen|adult|mature,consult both,,BHA exfoliates pores; zinc sulfate astringent and antimicrobial provide additional acne control.,Apply BHA toner then zinc-containing product.
Colloidal Sulfur,Salicylic Acid,synergistic,Salicylic Acid first,0,PM,yes,caution,no,yes,moderate,acne|antimicrobial|keratosis pilaris enhanced,teen|adult,consult both,,BHA + sulfur: dual keratolytic/antimicrobial combination. Classic acne treatment stack used in combination products historically.,"BHA toner, then sulfur-based spot treatment or mask. Classic acne-fighting duo."
Colloidal Sulfur,Niacinamide,synergistic,Sulfur first,15,both,yes,caution,caution,yes,moderate,acne|redness|sebum enhanced,teen|adult|mature,consult,,Sulfur antimicrobial/keratolytic + niacinamide sebum regulation/anti-inflammatory. Niacinamide reduces post-sulfur irritation.,"Apply sulfur product, wait 15 min, then niacinamide serum."
Zinc Gluconate,Niacinamide,synergistic,either,0,both,yes,caution,moderate,yes,moderate,acne|pores|sebum|redness enhanced,teen|adult|mature,consult,,Zinc gluconate delivers bioavailable zinc for sebum regulation and antimicrobial activity; niacinamide adds barrier and brightening. Classic anti-acne zinc combo.,Layer in any order. Zinc + niacinamide: synergistic acne combination; commonly co-formulated.
Zinc Gluconate,Salicylic Acid,synergistic,Salicylic Acid first,0,both,yes,caution,moderate,yes,moderate,acne|pores|sebum|antimicrobial enhanced,teen|adult|mature,consult both,,BHA pore exfoliation + zinc gluconate sebum control and antimicrobial. Traditional dual-action acne approach.,"Apply BHA toner, then zinc gluconate serum/moisturizer."
Zinc Gluconate,Ceramide NP,synergistic,Ceramide first,0,both,yes,caution,moderate,yes,moderate,acne|barrier|redness enhanced,teen|adult|mature,consult,,Ceramide barrier repair prevents zinc-related dryness; zinc controls sebum and bacteria.,"Ceramide moisturizer, then zinc gluconate product. Anti-acne with barrier protection."
Zinc Pyrithione,Salicylic Acid,synergistic,Salicylic Acid first,0,PM,yes,caution,caution,yes,moderate,dandruff|acne|antimicrobial enhanced,teen|adult|mature,consult both,,BHA reduces follicular hyperkeratosis; zinc pyrithione antimicrobial/antidandruff. Effective seborrheic dermatitis + acne combination.,Apply BHA then ZPT-containing product. For scalp or face seborrheic-prone skin.
Zinc Pyrithione,Niacinamide,synergistic,either,0,both,yes,caution,moderate,yes,moderate,dandruff|acne|redness|pores enhanced,teen|adult|mature,consult,,Zinc pyrithione antimicrobial + niacinamide sebum/barrier. Comprehensive seborrheic/acne control.,Layer in any order. Used together in anti-dandruff and anti-acne formulations.
Tinosorb S,Tinosorb M,synergistic,same formula,0,AM,yes,yes,yes,yes,yes,broad UV protection enhanced,all,consult both,,Tinosorb S (BEMT organic filter) + Tinosorb M (micronized organic filter) – Tinosorb S photostabilizes and enhances Tinosorb M efficacy. Complementary organic UV filter pair covering full UVA/UVB spectrum.,Both are broad-spectrum UVA/UVB chemical filters. Ideal combined in sunscreen formulas.
Tinosorb S,Avobenzone,synergistic,same formula,0,AM,yes,yes,moderate,yes,yes,UVA protection stabilized,adult|mature,consult,,Tinosorb S (bemotrizinol) photostabilizes avobenzone more effectively than octocrylene. One of the most efficient avobenzone pairs.,Best combined in same sunscreen formula. EU/Asia sunscreen benchmark combination.
Tinosorb M,Avobenzone,synergistic,same formula,0,AM,yes,yes,moderate,yes,yes,UVA protection stabilized,adult|mature,consult,,Tinosorb M (bisoctrizole) acts as photostabilizer and UV absorber/reflector. Stabilizes avobenzone photodegradation.,Both in sunscreen formula. European sunscreen technology hallmark.
Mexoryl SX,Avobenzone,synergistic,same formula,0,AM,yes,yes,moderate,yes,yes,UVA protection enhanced,adult|mature,consult,,Mexoryl SX (ecamsule) UVA filter + avobenzone UVA filter – complementary UVA spectrum coverage at slightly different wavelength peaks. La Roche-Posay Anthelios hallmark combination.,Combined in same sunscreen. Benchmark UVA protection combination.
Mexoryl XL,Titanium Dioxide,synergistic,same formula,0,AM,yes,yes,yes,yes,yes,broad UV protection enhanced,all,consult,,Mexoryl XL (drometrizole trisiloxane) organic UVA/UVB filter + TiO2 physical filter. Organic + mineral hybrid broad-spectrum protection.,Best in same formula. Complete hybrid UV protection approach.
Mexoryl SX,Mexoryl XL,synergistic,same formula,0,AM,yes,yes,yes,yes,yes,broad UV protection enhanced,adult|mature,consult,,Mexoryl SX (UVA water-soluble) + Mexoryl XL (UVA/UVB oil-soluble). Both water/oil phase coverage for comprehensive UVA protection. L'Oréal/La Roche-Posay gold standard.,Combined in same formula. Most complete UVA protection pair available.
Octinoxate,Avobenzone,caution,same formula with stabilizer,0,AM,yes,yes,moderate,yes,moderate,UV protection - unstabilized avobenzone,adult|mature,consult both,Octinoxate fails to photostabilize avobenzone and may slightly accelerate its photodegradation. SPF boost may not translate to photostable UVA protection.,Octinoxate provides UVB; avobenzone provides UVA but avobenzone requires stabilizer.,Requires addition of stabilizer (octocrylene; Tinosorb S) in formula. Not ideal pair without stabilizer.
Octisalate,Avobenzone,synergistic,same formula,0,AM,yes,yes,moderate,yes,yes,UV protection stabilized,adult|mature,consult,,Octisalate (ethylhexyl salicylate) is one of the established avobenzone photostabilizers; prevents trans-cis photo-isomerization of avobenzone.,Classic North American sunscreen stabilization pair. Apply as final step.
